,Event,Site,Date,Round,White,Black,Result,ECO,EventDate
626,World Championship 30th,Meran ITA,1981.10.22,8,"Karpov, Anatoly","Korchnoi, Viktor L",1/2-1/2,C54,1981.10.??
627,World Championship 30th,Meran ITA,1981.10.24,9,"Korchnoi, Viktor L","Karpov, Anatoly",0-1,D53,1981.10.??
628,World Championship 30th,Meran ITA,1981.10.29,10,"Karpov, Anatoly","Korchnoi, Viktor L",1/2-1/2,C54,1981.10.??
629,World Championship 30th,Meran ITA,1981.10.31,11,"Korchnoi, Viktor L","Karpov, Anatoly",1/2-1/2,D37,1981.10.??
630,World Championship 30th,Meran ITA,1981.11.02,12,"Karpov, Anatoly","Korchnoi, Viktor L",1/2-1/2,A16,1981.10.??
631,World Championship 30th,Meran ITA,1981.11.05,13,"Korchnoi, Viktor L","Karpov, Anatoly",1-0,D31,1981.10.??
632,World Championship 30th,Meran ITA,1981.11.09,14,"Karpov, Anatoly","Korchnoi, Viktor L",1-0,C80,1981.10.??
633,World Championship 30th,Meran ITA,1981.11.12,15,"Korchnoi, Viktor L","Karpov, Anatoly",1/2-1/2,A29,1981.10.??
634,World Championship 30th,Meran ITA,1981.11.14,16,"Karpov, Anatoly","Korchnoi, Viktor L",1/2-1/2,C80,1981.10.??
635,World Championship 30th,Meran ITA,1981.11.16,17,"Korchnoi, Viktor L","Karpov, Anatoly",1/2-1/2,D53,1981.10.??
636,World Championship 30th,Meran ITA,1981.11.18,18,"Karpov, Anatoly","Korchnoi, Viktor L",1-0,C80,1981.10.??
637,World Championship 31th,Moscow RUS,1984.09.10,1,"Karpov, Anatoly","Kasparov, Gary",1/2-1/2,B81,1984.09.10
638,World Championship 31th,Moscow RUS,1984.09.12,2,"Kasparov, Gary","Karpov, Anatoly",1/2-1/2,E17,1984.09.10
639,World Championship 31th,Moscow RUS,1984.09.17,3,"Karpov, Anatoly","Kasparov, Gary",1-0,B44,1984.09.10
640,World Championship 31th,Moscow RUS,1984.09.21,4,"Kasparov, Gary","Karpov, Anatoly",1/2-1/2,E15,1984.09.10
641,World Championship 31th,Moscow RUS,1984.09.24,5,"Karpov, Anatoly","Kasparov, Gary",1/2-1/2,B85,1984.09.10
642,World Championship 31th,Moscow RUS,1984.09.26,6,"Kasparov, Gary","Karpov, Anatoly",0-1,E15,1984.09.10
643,World Championship 31th,Moscow RUS,1984.09.28,7,"Karpov, Anatoly","Kasparov, Gary",1-0,D34,1984.09.10
644,World Championship 31th,Moscow RUS,1984.10.03,8,"Kasparov, Gary","Karpov, Anatoly",1/2-1/2,E05,1984.09.10
645,World Championship 31th,Moscow RUS,1984.10.05,9,"Karpov, Anatoly","Kasparov, Gary",1-0,D34,1984.09.10
646,World Championship 31th,Moscow RUS,1984.10.08,10,"Kasparov, Gary","Karpov, Anatoly",1/2-1/2,E12,1984.09.10
647,World Championship 31th,Moscow RUS,1984.10.10,11,"Karpov, Anatoly","Kasparov, Gary",1/2-1/2,A30,1984.09.10
648,World Championship 31th,Moscow RUS,1984.10.12,12,"Kasparov, Gary","Karpov, Anatoly",1/2-1/2,D58,1984.09.10
649,World Championship 31th,Moscow RUS,1984.10.15,13,"Karpov, Anatoly","Kasparov, Gary",1/2-1/2,A30,1984.09.10
650,World Championship 31th,Moscow RUS,1984.10.17,14,"Kasparov, Gary","Karpov, Anatoly",1/2-1/2,E15,1984.09.10
651,World Championship 31th,Moscow RUS,1984.10.19,15,"Karpov, Anatoly","Kasparov, Gary",1/2-1/2,E15,1984.09.10
652,World Championship 31th,Moscow RUS,1984.10.22,16,"Kasparov, Gary","Karpov, Anatoly",1/2-1/2,E15,1984.09.10
653,World Championship 31th,Moscow RUS,1984.10.24,17,"Karpov, Anatoly","Kasparov, Gary",1/2-1/2,D58,1984.09.10
654,World Championship 31th,Moscow RUS,1984.10.26,18,"Kasparov, Gary","Karpov, Anatoly",1/2-1/2,E15,1984.09.10
655,World Championship 31th,Moscow RUS,1984.10.29,19,"Karpov, Anatoly","Kasparov, Gary",1/2-1/2,D55,1984.09.10
656,World Championship 31th,Moscow RUS,1984.10.31,20,"Kasparov, Gary","Karpov, Anatoly",1/2-1/2,A30,1984.09.10
657,World Championship 31th,Moscow RUS,1984.11.02,21,"Karpov, Anatoly","Kasparov, Gary",1/2-1/2,D53,1984.09.10
658,World Championship 31th,Moscow RUS,1984.11.05,22,"Kasparov, Gary","Karpov, Anatoly",1/2-1/2,E05,1984.09.10
659,World Championship 31th,Moscow RUS,1984.11.12,23,"Karpov, Anatoly","Kasparov, Gary",1/2-1/2,D53,1984.09.10
660,World Championship 31th,Moscow RUS,1984.11.16,24,"Kasparov, Gary","Karpov, Anatoly",1/2-1/2,A33,1984.09.10
661,World Championship 31th,Moscow RUS,1984.11.19,25,"Karpov, Anatoly","Kasparov, Gary",1/2-1/2,D58,1984.09.10
662,World Championship 31th,Moscow RUS,1984.11.21,26,"Kasparov, Gary","Karpov, Anatoly",1/2-1/2,A33,1984.09.10
663,World Championship 31th,Moscow RUS,1984.11.23,27,"Karpov, Anatoly","Kasparov, Gary",1-0,D55,1984.09.10
664,World Championship 31th,Moscow RUS,1984.11.28,28,"Kasparov, Gary","Karpov, Anatoly",1/2-1/2,C42,1984.09.10
665,World Championship 31th,Moscow RUS,1984.12.03,29,"Karpov, Anatoly","Kasparov, Gary",1/2-1/2,D47,1984.09.10
666,World Championship 31th,Moscow RUS,1984.12.05,30,"Kasparov, Gary","Karpov, Anatoly",1/2-1/2,C42,1984.09.10
667,World Championship 31th,Moscow RUS,1984.12.07,31,"Karpov, Anatoly","Kasparov, Gary",1/2-1/2,D58,1984.09.10
668,World Championship 31th,Moscow RUS,1984.12.12,32,"Kasparov, Gary","Karpov, Anatoly",1-0,E12,1984.09.10
669,World Championship 31th,Moscow RUS,1984.12.17,33,"Karpov, Anatoly","Kasparov, Gary",1/2-1/2,D45,1984.09.10
670,World Championship 31th,Moscow RUS,1984.12.19,34,"Kasparov, Gary","Karpov, Anatoly",1/2-1/2,D58,1984.09.10
671,World Championship 31th,Moscow RUS,1984.12.26,35,"Karpov, Anatoly","Kasparov, Gary",1/2-1/2,B64,1984.09.10
672,World Championship 31th,Moscow RUS,1984.12.28,36,"Kasparov, Gary","Karpov, Anatoly",1/2-1/2,D58,1984.09.10
673,World Championship 31th,Moscow RUS,1985.01.02,37,"Karpov, Anatoly","Kasparov, Gary",1/2-1/2,B63,1984.09.10
674,World Championship 31th,Moscow RUS,1985.01.04,38,"Kasparov, Gary","Karpov, Anatoly",1/2-1/2,D58,1984.09.10
675,World Championship 31th,Moscow RUS,1985.01.07,39,"Karpov, Anatoly","Kasparov, Gary",1/2-1/2,D58,1984.09.10
676,World Championship 31th,Moscow RUS,1985.01.09,40,"Kasparov, Gary","Karpov, Anatoly",1/2-1/2,D58,1984.09.10
677,World Championship 31th,Moscow RUS,1985.01.14,41,"Karpov, Anatoly","Kasparov, Gary",1/2-1/2,C42,1984.09.10
678,World Championship 31th,Moscow RUS,1985.01.16,42,"Kasparov, Gary","Karpov, Anatoly",1/2-1/2,D58,1984.09.10
679,World Championship 31th,Moscow RUS,1985.01.18,43,"Karpov, Anatoly","Kasparov, Gary",1/2-1/2,B84,1984.09.10
680,World Championship 31th,Moscow RUS,1985.01.21,44,"Kasparov, Gary","Karpov, Anatoly",1/2-1/2,C92,1984.09.10
681,World Championship 31th,Moscow RUS,1985.01.23,45,"Karpov, Anatoly","Kasparov, Gary",1/2-1/2,B85,1984.09.10
682,World Championship 31th,Moscow RUS,1985.01.28,46,"Kasparov, Gary","Karpov, Anatoly",1/2-1/2,C92,1984.09.10
683,World Championship 31th,Moscow RUS,1985.01.30,47,"Karpov, Anatoly","Kasparov, Gary",0-1,D52,1984.09.10
684,World Championship 31th,Moscow RUS,1985.02.08,48,"Kasparov, Gary","Karpov, Anatoly",1-0,C42,1984.09.10
